n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
891,567.2333,5.6723332,0.5672333,5.672333E-04,567.2333,5.6723332,0.5672333,5.672333E-04,1.4500377E-08,1.2041751E-04,5.47E-04,0.547
901,1117.7332,11.177332,1.1177332,1.1177332E-03,1117.7332,11.177332,1.1177332,1.1177332E-03,2.929928E-09,5.412881E-05,1.106E-03,1.1060001
911,1276.6665,12.766665,1.2766665,1.2766665E-03,1276.6665,12.766665,1.2766665,1.2766665E-03,3.716435E-08,1.9278059E-04,1.223E-03,1.223
921,1396.3998,13.963998,1.3963999,1.3963998E-03,1396.3998,13.963998,1.3963999,1.3963998E-03,4.3647393E-07,6.606617E-04,1.218E-03,1.2179999
931,1222.7334,12.227334,1.2227334,1.2227334E-03,1222.7334,12.227334,1.2227334,1.2227334E-03,2.6379928E-08,1.6241899E-04,1.183E-03,1.1830001
941,1035.1666,10.351666,1.0351666,1.0351667E-03,1035.1666,10.351666,1.0351666,1.0351667E-03,1.5805405E-08,1.2571955E-04,1.01E-03,1.01
951,1227.6001,12.276002,1.2276001,1.2276002E-03,1227.6001,12.276002,1.2276001,1.2276002E-03,5.053948E-07,7.1091123E-04,9.66E-04,0.966
961,1707.3002,17.073002,1.7073002,1.7073002E-03,1707.3002,17.073002,1.7073002,1.7073002E-03,2.77425E-07,5.2671146E-04,1.504E-03,1.5040001
971,1194.1667,11.941668,1.1941667,1.1941667E-03,1194.1667,11.941668,1.1941667,1.1941667E-03,3.869947E-08,1.967218E-04,1.125E-03,1.125
981,1781.8668,17.818668,1.7818668,1.7818668E-03,1781.8668,17.818668,1.7818668,1.7818668E-03,6.51584E-07,8.0720754E-04,1.52E-03,1.5200001
991,1062.5,10.624999,1.0625,1.0624999E-03,1062.5,10.624999,1.0625,1.0624999E-03,2.044005E-08,1.429687E-04,1.032E-03,1.032
1001,1315.6667,13.156667,1.3156667,1.3156667E-03,1315.6667,13.156667,1.3156667,1.3156667E-03,4.2459085E-08,2.0605602E-04,1.283E-03,1.283
1011,1155.2666,11.552667,1.1552666,1.1552667E-03,1155.2666,11.552667,1.1552666,1.1552667E-03,2.4480666E-08,1.56463E-04,1.124E-03,1.124
1021,1350.7332,13.507331,1.3507332,1.3507331E-03,1350.7332,13.507331,1.3507332,1.3507331E-03,2.3367667E-08,1.5286487E-04,1.316E-03,1.316
1031,1170.8999,11.709,1.1709,1.1709E-03,1170.8999,11.709,1.1709,1.1709E-03,4.302129E-08,2.0741574E-04,1.124E-03,1.124
1041,1459.5667,14.595667,1.4595666,1.4595666E-03,1459.5667,14.595667,1.4595666,1.4595666E-03,6.5378293E-07,8.0856844E-04,1.28E-03,1.28
1051,1134.0336,11.340336,1.1340336,1.1340335E-03,1134.0336,11.340336,1.1340336,1.1340335E-03,1.6092168E-08,1.2685491E-04,1.116E-03,1.116
1061,1281.5668,12.815668,1.2815669,1.2815668E-03,1281.5668,12.815668,1.2815669,1.2815668E-03,6.239159E-07,7.898835E-04,1.106E-03,1.1060001
1071,1371.5669,13.715669,1.3715669,1.3715669E-03,1371.5669,13.715669,1.3715669,1.3715669E-03,1.3323124E-07,3.6500854E-04,1.208E-03,1.208
1081,1482.2668,14.822668,1.4822668,1.4822668E-03,1482.2668,14.822668,1.4822668,1.4822668E-03,2.5403002E-08,1.593832E-04,1.456E-03,1.456
1091,1393.2001,13.932,1.3932,1.3932E-03,1393.2001,13.932,1.3932,1.3932E-03,2.1031896E-08,1.4502378E-04,1.37E-03,1.37
1101,1364.3667,13.643667,1.3643668,1.3643667E-03,1364.3667,13.643667,1.3643668,1.3643667E-03,2.8582894E-08,1.6906476E-04,1.316E-03,1.316
1111,1071.9,10.719,1.0719,1.0719E-03,1071.9,10.719,1.0719,1.0719E-03,1.2297623E-08,1.1089465E-04,1.052E-03,1.0519999
1121,1401.5001,14.015,1.4015001,1.4015001E-03,1401.5001,14.015,1.4015001,1.4015001E-03,2.2579849E-08,1.5026593E-04,1.355E-03,1.3549999
1131,1287.5668,12.875668,1.2875668,1.2875667E-03,1287.5668,12.875668,1.2875668,1.2875667E-03,5.1825236E-08,2.2765157E-04,1.214E-03,1.2140001
1141,1306.1666,13.0616665,1.3061666,1.3061666E-03,1306.1666,13.0616665,1.3061666,1.3061666E-03,1.4795936E-08,1.2163855E-04,1.286E-03,1.286
1151,1646.7667,16.467667,1.6467667,1.6467667E-03,1646.7667,16.467667,1.6467667,1.6467667E-03,5.876837E-07,7.666053E-04,1.447E-03,1.4469999
1161,1125.6333,11.256332,1.1256332,1.1256333E-03,1125.6333,11.256332,1.1256332,1.1256333E-03,9.04573E-08,3.007612E-04,1.072E-03,1.072
1171,1376.6001,13.766001,1.3766001,1.3766001E-03,1376.6001,13.766001,1.3766001,1.3766001E-03,3.04645E-08,1.7454082E-04,1.311E-03,1.311
1181,1771.8667,17.718666,1.7718667,1.7718667E-03,1771.8667,17.718666,1.7718667,1.7718667E-03,8.775697E-07,9.367869E-04,1.554E-03,1.5539999
1191,1287.7335,12.877336,1.2877336,1.2877336E-03,1287.7335,12.877336,1.2877336,1.2877336E-03,6.94564E-08,2.635458E-04,1.178E-03,1.178
