n,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3
1201,1411699.0,14116.99,1411.6991,1.411699,1411699.0,14116.99,1411.6991,1.411699,2.0411948E-05,4.5179585E-03,1.412011,1412.011
1211,1473599.1,14735.991,1473.5991,1.4735991,1473599.1,14735.991,1473.5991,1.4735991,5.46091E-05,7.389797E-03,1.471506,1471.506
1221,1479714.8,14797.147,1479.7147,1.4797148,1479714.8,14797.147,1479.7147,1.4797148,6.217664E-05,7.885217E-03,1.478183,1478.183
1231,1498025.9,14980.259,1498.0259,1.4980259,1498025.9,14980.259,1498.0259,1.4980259,5.162978E-05,7.1853865E-03,1.496864,1496.864
1241,1557435.4,15574.354,1557.4354,1.5574354,1557435.4,15574.354,1557.4354,1.5574354,5.8253157E-05,7.6323757E-03,1.55612,1556.12
1251,1576900.4,15769.004,1576.9004,1.5769004,1576900.4,15769.004,1576.9004,1.5769004,1.02061975E-04,1.0102573E-02,1.57543,1575.43
1261,1573567.6,15735.677,1573.5676,1.5735676,1573567.6,15735.677,1573.5676,1.5735676,2.0248583E-04,1.4229751E-02,1.569684,1569.6841
1271,1624487.8,16244.878,1624.4878,1.6244878,1624487.8,16244.878,1624.4878,1.6244878,4.6290082E-04,2.151513E-02,1.622231,1622.231
1281,1687149.8,16871.498,1687.1498,1.6871498,1687149.8,16871.498,1687.1498,1.6871498,7.667487E-05,8.756419E-03,1.685885,1685.885
1291,1689689.5,16896.895,1689.6896,1.6896895,1689689.5,16896.895,1689.6896,1.6896895,5.440308E-05,7.3758443E-03,1.688023,1688.023
1301,1693476.5,16934.766,1693.4766,1.6934766,1693476.5,16934.766,1693.4766,1.6934766,3.8196715E-05,6.1803493E-03,1.693075,1693.075
1311,1712363.8,17123.637,1712.3638,1.7123637,1712363.8,17123.637,1712.3638,1.7123637,1.228596E-04,1.1084205E-02,1.711726,1711.726
1321,1772590.5,17725.904,1772.5906,1.7725905,1772590.5,17725.904,1772.5906,1.7725905,8.4992185E-05,9.21912E-03,1.773799,1773.799
1331,1834322.0,18343.22,1834.322,1.834322,1834322.0,18343.22,1834.322,1.834322,5.119026E-05,7.154737E-03,1.833509,1833.5089
1341,1851057.5,18510.576,1851.0575,1.8510575,1851057.5,18510.576,1851.0575,1.8510575,9.51075E-05,9.752307E-03,1.848438,1848.438
1351,1866343.4,18663.434,1866.3434,1.8663434,1866343.4,18663.434,1866.3434,1.8663434,8.912489E-05,9.440598E-03,1.866442,1866.442
1361,1878711.4,18787.113,1878.7113,1.8787113,1878711.4,18787.113,1878.7113,1.8787113,4.4434797E-05,6.665943E-03,1.876775,1876.775
1371,1913379.1,19133.791,1913.379,1.9133791,1913379.1,19133.791,1913.379,1.9133791,5.6434208E-05,7.5122705E-03,1.912965,1912.9651
1381,1967729.8,19677.297,1967.7297,1.9677297,1967729.8,19677.297,1967.7297,1.9677297,9.9319004E-05,9.965892E-03,1.967786,1967.786
1391,1955373.1,19553.732,1955.3732,1.9553732,1955373.1,19553.732,1955.3732,1.9553732,1.3789642E-04,1.1742931E-02,1.954489,1954.489
1401,1989765.4,19897.654,1989.7654,1.9897654,1989765.4,19897.654,1989.7654,1.9897654,5.2010102E-05,7.211803E-03,1.990643,1990.6431
1411,2050199.3,20501.992,2050.1992,2.0501993,2050199.3,20501.992,2050.1992,2.0501993,2.7182995E-04,1.6487267E-02,2.045382,2045.3821
1421,2006258.5,20062.584,2006.2585,2.0062585,2006258.5,20062.584,2006.2585,2.0062585,9.983373E-05,9.991683E-03,2.004999,2004.9989
1431,2062782.0,20627.82,2062.782,2.062782,2062782.0,20627.82,2062.782,2.062782,4.2882093E-05,6.548442E-03,2.062954,2062.9539
1441,2148960.3,21489.604,2148.9604,2.1489604,2148960.3,21489.604,2148.9604,2.1489604,1.0355801E-04,1.0176346E-02,2.149447,2149.447
1451,2178277.5,21782.775,2178.2776,2.1782775,2178277.5,21782.775,2178.2776,2.1782775,9.3724846E-04,3.0614514E-02,2.173764,2173.764
1461,2221824.0,22218.24,2221.824,2.221824,2221824.0,22218.24,2221.824,2.221824,1.4236868E-04,1.1931835E-02,2.220703,2220.703
1471,2259281.8,22592.818,2259.282,2.2592819,2259281.8,22592.818,2259.282,2.2592819,9.127247E-05,9.5536625E-03,2.261064,2261.064
1481,2241881.8,22418.818,2241.8818,2.2418818,2241881.8,22418.818,2241.8818,2.2418818,2.639351E-04,1.624608E-02,2.237786,2237.7861
1491,2325175.8,23251.758,2325.1758,2.3251758,2325175.8,23251.758,2325.1758,2.3251758,8.083149E-05,8.990633E-03,2.325275,2325.275
1501,2301721.3,23017.213,2301.7214,2.3017213,2301721.3,23017.213,2301.7214,2.3017213,9.39846E-05,9.694565E-03,2.303487,2303.487
1511,2412865.5,24128.654,2412.8655,2.4128654,2412865.5,24128.654,2412.8655,2.4128654,1.11512694E-04,1.05599575E-02,2.41022,2410.22
1521,2391997.0,23919.97,2391.997,2.391997,2391997.0,23919.97,2391.997,2.391997,3.595482E-04,1.8961756E-02,2.389156,2389.156
1531,2474831.5,24748.316,2474.8315,2.4748316,2474831.5,24748.316,2474.8315,2.4748316,7.436842E-05,8.623713E-03,2.475325,2475.3252
1541,2474396.3,24743.963,2474.3962,2.4743962,2474396.3,24743.963,2474.3962,2.4743962,9.562119E-05,9.778609E-03,2.47398,2473.98
1551,2479438.0,24794.38,2479.438,2.479438,2479438.0,24794.38,2479.438,2.479438,1.0150391E-04,1.0074914E-02,2.477877,2477.877
1561,2558793.5,25587.936,2558.7935,2.5587935,2558793.5,25587.936,2558.7935,2.5587935,3.2577172E-04,1.8049147E-02,2.556656,2556.6558
