n, each, mean, variance, stdDev, median,median1e6
521,5.526666E-05,5.526666E-05,2.7199556E-10,1.6492288E-05,5.2E-05,52.0
531,6.476666E-05,6.476666E-05,2.052179E-09,4.530098E-05,5.2E-05,52.0
541,5.58E-05,5.58E-05,6.2929334E-10,2.508572E-05,4.7E-05,47.0
551,6.11E-05,6.11E-05,4.9595568E-09,7.042412E-05,4.6E-05,46.0
561,5.9633338E-05,5.9633338E-05,3.440322E-10,1.8548104E-05,5.9E-05,59.0
571,6.383334E-05,6.383334E-05,5.585389E-10,2.3633427E-05,5.4E-05,54.0
581,7.756667E-05,7.756667E-05,3.866646E-09,6.2182364E-05,6.2E-05,62.0
591,6.2833344E-05,6.2833344E-05,6.970055E-10,2.6400861E-05,5.2E-05,52.0
601,2.3066666E-04,2.3066666E-04,2.647022E-09,5.1449217E-05,2.04E-04,204.0
611,2.0863336E-04,2.0863336E-04,1.4901658E-09,3.8602666E-05,1.93E-04,193.0
621,1.6909998E-04,1.6909998E-04,4.521824E-09,6.724451E-05,1.49E-04,149.0
631,2.606E-04,2.606E-04,3.6350398E-09,6.029129E-05,2.41E-04,241.0
641,1.838E-04,1.838E-04,2.3319602E-09,4.8290374E-05,1.77E-04,177.0
651,2.2333334E-04,2.2333334E-04,5.506355E-09,7.4204814E-05,2.04E-04,204.0
661,2.34E-04,2.34E-04,1.9569997E-09,4.423799E-05,2.32E-04,232.0
671,3.249E-04,3.249E-04,2.0869442E-07,4.5683084E-04,2.17E-04,217.0
681,1.9896666E-04,1.9896666E-04,1.6242321E-09,4.0301762E-05,1.8E-04,180.0
691,2.2716666E-04,2.2716666E-04,3.855739E-09,6.2094594E-05,2.26E-04,226.0
701,1.9556667E-04,1.9556667E-04,3.1220453E-09,5.5875265E-05,1.74E-04,174.0
711,2.2716667E-04,2.2716667E-04,1.1568057E-09,3.4011846E-05,2.14E-04,214.0
721,2.2053333E-04,2.2053333E-04,2.0755822E-09,4.5558558E-05,2.01E-04,201.0
731,2.7769996E-04,2.7769996E-04,1.448221E-08,1.20342054E-04,2.55E-04,254.99998
741,3.1643335E-04,3.1643335E-04,2.839583E-07,5.3287734E-04,1.92E-04,192.0
751,2.4166665E-04,2.4166665E-04,2.463956E-09,4.963825E-05,2.28E-04,228.0
761,2.2200002E-04,2.2200002E-04,3.3172E-09,5.7595138E-05,2.02E-04,202.0
771,2.7483332E-04,2.7483332E-04,2.9560718E-09,5.4369768E-05,2.8E-04,280.0
781,2.0306667E-04,2.0306667E-04,1.8380621E-09,4.2872627E-05,1.83E-04,183.0
791,2.1366666E-04,2.1366666E-04,3.472089E-09,5.8924434E-05,1.89E-04,189.0
801,2.3216667E-04,2.3216667E-04,3.2973388E-09,5.7422458E-05,2.14E-04,214.0
811,2.3656664E-04,2.3656664E-04,2.2103126E-09,4.701396E-05,2.17E-04,217.0
821,2.5913332E-04,2.5913332E-04,4.485382E-09,6.697299E-05,2.32E-04,232.0
831,2.4969998E-04,2.4969998E-04,7.3488775E-09,8.5725595E-05,2.12E-04,212.0
841,2.552E-04,2.552E-04,1.8055601E-09,4.2491884E-05,2.58E-04,258.0
851,3.776333E-04,3.776333E-04,4.1666408E-07,6.454952E-04,2.35E-04,235.0
861,2.1179998E-04,2.1179998E-04,1.6896932E-09,4.110588E-05,1.93E-04,193.0
871,2.5773334E-04,2.5773334E-04,4.6915294E-09,6.849474E-05,2.67E-04,267.0
881,2.5110002E-04,2.5110002E-04,1.7675567E-09,4.204232E-05,2.42E-04,242.0
891,3.515667E-04,3.515667E-04,3.5230232E-07,5.935506E-04,2.34E-04,234.0
901,7.090666E-04,7.090666E-04,3.1987966E-09,5.6557903E-05,7.07E-04,707.0
911,7.325334E-04,7.325334E-04,4.0830955E-07,6.38991E-04,6.07E-04,607.0
921,7.2149996E-04,7.2149996E-04,3.106212E-07,5.57334E-04,6.29E-04,629.0
931,6.159667E-04,6.159667E-04,7.4334308E-09,8.621735E-05,6.15E-04,615.0
941,6.465666E-04,6.465666E-04,4.1656077E-07,6.454152E-04,5.23E-04,523.0
951,5.216334E-04,5.216334E-04,1.8194168E-08,1.3488576E-04,4.89E-04,489.0
961,7.14E-04,7.14E-04,8.245066E-09,9.080234E-05,6.89E-04,689.0
971,7.650666E-04,7.650666E-04,4.5470412E-07,6.7431753E-04,6.55E-04,655.0
981,7.094999E-04,7.094999E-04,3.77111E-07,6.140937E-04,5.88E-04,588.0
991,5.132333E-04,5.132333E-04,2.6847118E-09,5.1814204E-05,5.11E-04,511.0
1001,6.347334E-04,6.347334E-04,7.067596E-09,8.4069E-05,6.29E-04,629.0
1011,6.668333E-04,6.668333E-04,5.1582805E-07,7.182117E-04,5.32E-04,532.0
1021,7.454334E-04,7.454334E-04,3.6438905E-08,1.9088977E-04,6.9E-04,690.0
1031,4.8959994E-04,4.8959994E-04,3.809107E-09,6.171796E-05,4.82E-04,482.0
