n,m,each1e6,meanX1000, each, mean, variance, stdDev
2221,458.533861760797,6.1557366E+02,615.57364000,6.1557366E-04,0.61557364,1.1673156E-04,1.0804238E-02
2231,460.598399634551,6.2799494E+02,627.99495000,6.2799494E-04,0.62799495,1.536852E-04,1.2396984E-02
2241,462.662937508305,6.254226E+02,625.4226000,6.254226E-04,0.6254226,1.2689459E-04,1.126475E-02
2251,464.727475382059,6.451416E+02,645.1416000,6.451416E-04,0.6451416,1.1290026E-04,1.0625454E-02
2261,466.792013255813,6.468267E+02,646.8267000,6.468267E-04,0.6468267,2.3495601E-04,1.5328275E-02
2271,468.856551129567,6.327997E+02,632.7997000,6.327997E-04,0.6327997,1.2840335E-04,1.133152E-02
2281,470.921089003322,6.248811E+02,624.88115000,6.248811E-04,0.62488115,6.774569E-04,2.6028002E-02
2291,472.985626877076,6.523747E+02,652.3747000,6.523747E-04,0.6523747,1.2866527E-04,1.1343071E-02
2301,475.05016475083,6.531842E+02,653.1842000,6.531842E-04,0.6531842,1.4934558E-04,1.2220703E-02
2311,477.114702624584,6.7233166E+02,672.3317000,6.7233166E-04,0.6723317,2.3612885E-04,1.5366484E-02
2321,479.179240498338,6.7975564E+02,679.7556000,6.7975564E-04,0.6797556,1.370791E-04,1.1708078E-02
2331,481.243778372092,6.9103134E+02,691.03134000,6.9103134E-04,0.69103134,1.1932274E-04,1.0923495E-02
2341,483.308316245847,6.638623E+02,663.8623000,6.638623E-04,0.6638623,9.8021235E-05,9.900567E-03
2351,485.372854119601,6.8059575E+02,680.59576000,6.8059575E-04,0.68059576,1.985992E-04,1.4092523E-02
2361,487.437391993355,6.65574E+02,665.574000,6.65574E-04,0.665574,1.2744228E-04,1.1289034E-02
2371,489.501929867109,6.8823353E+02,688.23355000,6.8823353E-04,0.68823355,1.1831613E-04,1.08773215E-02
2381,491.566467740863,6.8313786E+02,683.13783000,6.8313786E-04,0.68313783,1.0622058E-04,1.0306337E-02
2391,493.631005614617,6.952225E+02,695.2225000,6.952225E-04,0.6952225,1.4964578E-04,1.223298E-02
2401,495.695543488371,6.903143E+02,690.3143000,6.903143E-04,0.6903143,1.4556455E-04,1.2065014E-02
2411,497.760081362126,6.3951884E+02,639.51886000,6.3951884E-04,0.63951886,1.0801477E-04,1.0393015E-02
2421,499.82461923588,7.010438E+02,701.0438000,7.010438E-04,0.7010438,1.672898E-04,1.2934056E-02
2431,501.889157109634,6.9234264E+02,692.34264000,6.9234264E-04,0.69234264,1.5224438E-04,1.2338735E-02
2441,503.953694983388,7.180004E+02,718.0004000,7.180004E-04,0.7180004,1.60019E-04,1.2649862E-02
2451,506.018232857142,7.0908567E+02,709.08564000,7.0908567E-04,0.70908564,6.8422774E-04,2.6157748E-02
2461,508.082770730896,7.3343236E+02,733.43235000,7.3343236E-04,0.73343235,1.358323E-04,1.1654711E-02
2471,510.14730860465,7.121365E+02,712.1365000,7.121365E-04,0.7121365,1.0556961E-04,1.0274707E-02
2481,512.211846478405,7.260244E+02,726.0244000,7.260244E-04,0.7260244,1.6101237E-04,1.2689065E-02
2491,514.276384352159,7.088584E+02,708.85843000,7.088584E-04,0.70885843,1.7875367E-04,1.336988E-02
2501,516.340922225913,7.339213E+02,733.9213000,7.339213E-04,0.7339213,1.3654918E-04,1.1685425E-02
2511,518.405460099667,7.24592E+02,724.59203000,7.24592E-04,0.72459203,1.6525878E-04,1.2855302E-02
2521,520.469997973421,7.243063E+02,724.3063000,7.243063E-04,0.7243063,2.1160948E-04,1.4546803E-02
2531,522.534535847175,7.6709327E+02,767.09324000,7.6709327E-04,0.76709324,1.0914924E-04,1.0447451E-02
2541,524.59907372093,7.534699E+02,753.4699000,7.534699E-04,0.7534699,1.6007922E-04,1.2652242E-02
2551,526.663611594684,7.420685E+02,742.0685000,7.420685E-04,0.7420685,1.6872268E-04,1.2989329E-02
2561,528.728149468438,7.7682803E+02,776.82805000,7.7682803E-04,0.77682805,1.3742053E-04,1.172265E-02
2571,530.792687342192,7.2834425E+02,728.34426000,7.2834425E-04,0.72834426,2.0784813E-04,1.441694E-02
2581,532.857225215946,7.6121587E+02,761.21587000,7.6121587E-04,0.76121587,1.2814789E-04,1.1320243E-02
2591,534.9217630897,7.469031E+02,746.9031000,7.469031E-04,0.7469031,1.3798216E-04,1.1746581E-02
2601,536.986300963454,7.734384E+02,773.43845000,7.734384E-04,0.77343845,1.1166163E-04,1.0567007E-02
2611,539.050838837209,7.5277267E+02,752.7727000,7.5277267E-04,0.7527727,1.4623707E-04,1.2092852E-02
2621,541.115376710963,7.5719703E+02,757.197000,7.5719703E-04,0.757197,1.9129124E-04,1.3830808E-02
2631,543.179914584717,7.5970235E+02,759.7023000,7.5970235E-04,0.7597023,1.9098945E-04,1.3819893E-02
2641,545.244452458471,7.872571E+02,787.2571000,7.872571E-04,0.7872571,1.5271755E-04,1.2357894E-02
2651,547.308990332225,7.936781E+02,793.6781000,7.936781E-04,0.7936781,1.5354989E-04,1.2391525E-02
2661,549.373528205979,7.921999E+02,792.1999000,7.921999E-04,0.7921999,1.7418535E-04,1.319793E-02
2671,551.438066079733,7.317358E+02,731.73577000,7.317358E-04,0.73173577,2.1934617E-04,1.481034E-02
2681,553.502603953488,7.7125715E+02,771.25716000,7.7125715E-04,0.77125716,1.16279945E-04,1.07833175E-02
2691,555.567141827242,7.972229E+02,797.2229000,7.972229E-04,0.7972229,1.7066469E-04,1.3063869E-02
2701,557.631679700996,7.710586E+02,771.0586000,7.710586E-04,0.7710586,1.5028309E-04,1.2259E-02
2711,559.69621757475,8.3234755E+02,832.3476000,8.3234755E-04,0.8323476,2.258577E-03,4.7524486E-02
2721,561.760755448504,7.970547E+02,797.05465000,7.970547E-04,0.79705465,2.775717E-04,1.6660484E-02
2731,563.825293322258,8.138443E+02,813.8443000,8.138443E-04,0.8138443,1.2626649E-04,1.1236836E-02
2741,565.889831196013,8.1905257E+02,819.0526000,8.1905257E-04,0.8190526,1.4829992E-04,1.2177845E-02
