n,eachLogEach,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
473,5671.9648,2674.4366,1749.0885,17.490885,1.7490885,1.7490885E-03,874544.25,8745.442,874.54425,0.87454426,1.8606841E-03,4.3135647E-02,0.858658,858.658,1.717316,1717.316
472,5489.3350,2668.7824,1699.3374,16.993374,1.6993374,1.6993374E-03,849668.7,8496.687,849.6687,0.8496687,6.032087E-04,2.4560308E-02,0.847619,847.619,1.695238,1695.2379
471,5413.1157,2663.1282,1678.5233,16.785233,1.6785233,1.6785233E-03,839261.6,8392.616,839.26166,0.83926165,2.2907484E-04,1.5135218E-02,0.835577,835.577,1.671154,1671.154
470,5381.5650,2657.474,1669.8984,16.698984,1.6698984,1.6698984E-03,834949.2,8349.492,834.9492,0.8349492,1.6916121E-04,1.3006199E-02,0.83578,835.78,1.67156,1671.5599
469,5367.2133,2651.8198,1665.9734,16.659733,1.6659733,1.6659733E-03,832986.6,8329.866,832.98663,0.83298665,1.6977983E-04,1.3029959E-02,0.831187,831.187,1.662374,1662.374
468,5375.4560,2646.1656,1668.2278,16.682278,1.6682278,1.6682278E-03,834113.9,8341.139,834.1139,0.8341139,1.6736599E-04,1.2937001E-02,0.83286,832.86,1.66572,1665.72
467,5333.5891,2640.5114,1656.7733,16.567732,1.6567732,1.6567733E-03,828386.6,8283.866,828.3866,0.8283866,2.0497358E-04,1.4316899E-02,0.827026,827.026,1.654052,1654.052
466,5316.8275,2634.8572,1652.1848,16.521847,1.6521847,1.6521848E-03,826092.4,8260.924,826.09235,0.82609236,1.8529476E-04,1.3612302E-02,0.824169,824.169,1.648338,1648.3379
465,5305.4010,2629.203,1649.0559,16.490559,1.6490558,1.6490559E-03,824527.94,8245.279,824.5279,0.8245279,2.0852733E-04,1.4440475E-02,0.821781,821.781,1.643562,1643.562
464,5290.2677,2623.5488,1644.9109,16.449108,1.6449109,1.6449109E-03,822455.44,8224.555,822.45544,0.82245547,1.20849356E-04,1.099315E-02,0.822653,822.653,1.645306,1645.306
463,5278.9942,2617.8946,1641.8223,16.418222,1.6418223,1.6418223E-03,820911.2,8209.111,820.9112,0.82091117,2.2810017E-04,1.5102985E-02,0.822179,822.179,1.644358,1644.358
462,5266.152,2612.2404,1638.303,16.38303,1.6383029,1.6383029E-03,819151.44,8191.5146,819.1515,0.81915146,2.0597526E-04,1.4351838E-02,0.817718,817.718,1.635436,1635.436
461,5247.9853,2606.5862,1633.3232,16.333233,1.6333233,1.6333233E-03,816661.6,8166.6167,816.6617,0.81666166,2.1775565E-04,1.4756545E-02,0.814822,814.822,1.629644,1629.644
460,5230.8281,2600.932,1628.6184,16.286184,1.6286185,1.6286185E-03,814309.25,8143.0923,814.30927,0.81430924,2.3850243E-04,1.5443523E-02,0.811879,811.87897,1.623758,1623.758
459,5219.0252,2595.2778,1625.3809,16.253809,1.6253809,1.6253808E-03,812690.44,8126.9043,812.6904,0.81269044,1.597504E-04,1.263924E-02,0.810353,810.35297,1.620706,1620.7059
458,5208.6070,2589.6236,1622.5226,16.225225,1.6225226,1.6225226E-03,811261.3,8112.613,811.2613,0.8112613,2.2537581E-04,1.5012522E-02,0.807703,807.703,1.615406,1615.406
457,5180.0469,2583.9694,1614.6838,16.14684,1.6146839,1.6146839E-03,807341.94,8073.4194,807.3419,0.80734193,1.6685989E-04,1.29174255E-02,0.805103,805.103,1.610206,1610.2059
456,5181.7079,2578.3152,1615.1398,16.151398,1.6151397,1.6151398E-03,807569.9,8075.6987,807.5699,0.80756986,1.9207198E-04,1.3859004E-02,0.805321,805.321,1.610642,1610.642
455,5155.795,2572.661,1608.024,16.08024,1.608024,1.608024E-03,804012.0,8040.12,804.012,0.804012,2.6113694E-04,1.6159732E-02,0.801085,801.085,1.60217,1602.1699
454,5190.732,2567.0068,1617.617,16.17617,1.617617,1.617617E-03,808808.5,8088.085,808.80853,0.8088085,3.6574627E-04,1.9124493E-02,0.805073,805.073,1.610146,1610.146
453,5142.8271,2561.3526,1604.4614,16.044615,1.6044614,1.6044615E-03,802230.7,8022.307,802.2307,0.8022307,1.5337244E-04,1.23843625E-02,0.801636,801.636,1.603272,1603.272
452,5130.9877,2555.6984,1601.2081,16.012081,1.6012081,1.6012081E-03,800604.06,8006.0405,800.60406,0.80060405,3.1314063E-04,1.7695779E-02,0.797301,797.30096,1.594602,1594.602
451,5108.5393,2550.0442,1595.0374,15.950374,1.5950375,1.5950374E-03,797518.75,7975.1875,797.51874,0.79751873,2.2306982E-04,1.4935522E-02,0.795573,795.573,1.591146,1591.146
450,5104.4329,2544.39,1593.9083,15.939083,1.5939083,1.5939083E-03,796954.1,7969.5415,796.95416,0.79695415,1.7430766E-04,1.3202563E-02,0.792147,792.147,1.584294,1584.2941
