n,each1e6,meanX1000, each, mean, variance, stdDev
1761,5.0984265E+02,254.92132000,5.0984265E-04,0.25492132,5.5345645E-05,7.4394653E-03
1771,4.990921E+02,249.54605000,4.990921E-04,0.24954605,9.1521986E-05,9.566712E-03
1781,5.321315E+02,266.06578000,5.321315E-04,0.26606578,9.1901406E-05,9.586522E-03
1791,5.178822E+02,258.94108000,5.178822E-04,0.25894108,7.282908E-05,8.533996E-03
1801,4.916676E+02,245.83378000,4.916676E-04,0.24583378,3.402439E-05,5.833043E-03
1811,5.711764E+02,285.5882000,5.711764E-04,0.2855882,6.7572495E-05,8.220249E-03
1821,5.4005865E+02,270.02934000,5.4005865E-04,0.27002934,3.412105E-05,5.8413227E-03
1831,5.5368466E+02,276.84233000,5.5368466E-04,0.27684233,3.532035E-05,5.9430925E-03
1841,5.254024E+02,262.7012000,5.254024E-04,0.2627012,7.352075E-05,8.574424E-03
1851,5.428107E+02,271.40537000,5.428107E-04,0.27140537,5.6174176E-05,7.494943E-03
1861,5.063879E+02,253.19394000,5.063879E-04,0.25319394,4.8629907E-05,6.973515E-03
1871,5.1979074E+02,259.89538000,5.1979074E-04,0.25989538,4.292871E-05,6.5520005E-03
1881,5.7133456E+02,285.66727000,5.7133456E-04,0.28566727,6.938306E-05,8.329649E-03
1891,5.6931074E+02,284.65536000,5.6931074E-04,0.28465536,2.6478653E-04,1.6272264E-02
1901,5.8540783E+02,292.70393000,5.8540783E-04,0.29270393,8.007645E-05,8.948544E-03
1911,5.668709E+02,283.43546000,5.668709E-04,0.28343546,9.105841E-05,9.542453E-03
1921,5.62683E+02,281.3415000,5.62683E-04,0.2813415,2.7785714E-05,5.2712155E-03
1931,5.0437555E+02,252.1878000,5.0437555E-04,0.2521878,8.0884296E-05,8.99357E-03
1941,5.8359874E+02,291.79937000,5.8359874E-04,0.29179937,6.427031E-05,8.016877E-03
1951,5.37779E+02,268.88952000,5.37779E-04,0.26888952,3.7588827E-05,6.130973E-03
1961,5.582063E+02,279.10313000,5.582063E-04,0.27910313,3.726414E-05,6.1044362E-03
1971,5.687162E+02,284.3581000,5.687162E-04,0.2843581,4.626643E-05,6.801943E-03
1981,5.658934E+02,282.9467000,5.658934E-04,0.2829467,4.6513833E-05,6.820105E-03
1991,5.425801E+02,271.29003000,5.425801E-04,0.27129003,4.5558376E-05,6.7496947E-03
2001,5.8037124E+02,290.18563000,5.8037124E-04,0.29018563,4.718311E-05,6.868996E-03
2011,5.7681074E+02,288.40536000,5.7681074E-04,0.28840536,6.9464324E-05,8.334526E-03
2021,6.0180976E+02,300.90487000,6.0180976E-04,0.30090487,4.8020414E-05,6.9296765E-03
2031,6.1688665E+02,308.44334000,6.1688665E-04,0.30844334,4.9051912E-05,7.003707E-03
2041,5.9472746E+02,297.36373000,5.9472746E-04,0.29736373,7.076257E-05,8.412049E-03
2051,5.6323834E+02,281.61916000,5.6323834E-04,0.28161916,6.197682E-05,7.872536E-03
2061,6.076805E+02,303.84025000,6.076805E-04,0.30384025,5.678474E-05,7.5355647E-03
2071,5.830845E+02,291.54223000,5.830845E-04,0.29154223,5.8387057E-05,7.6411422E-03
2081,6.3052063E+02,315.26032000,6.3052063E-04,0.31526032,6.236949E-05,7.897436E-03
2091,6.296701E+02,314.83504000,6.296701E-04,0.31483504,7.188425E-05,8.478458E-03
2101,6.2686705E+02,313.43353000,6.2686705E-04,0.31343353,6.8832655E-05,8.296545E-03
2111,6.0744083E+02,303.7204000,6.0744083E-04,0.3037204,7.914533E-05,8.896366E-03
2121,6.37071E+02,318.53548000,6.37071E-04,0.31853548,7.401458E-05,8.603172E-03
2131,6.179927E+02,308.99635000,6.179927E-04,0.30899635,6.415508E-05,8.009687E-03
2141,5.786714E+02,289.3357000,5.786714E-04,0.2893357,1.274919E-04,1.1291231E-02
2151,6.527907E+02,326.39536000,6.527907E-04,0.32639536,5.9078153E-05,7.6862313E-03
2161,6.649108E+02,332.45543000,6.649108E-04,0.33245543,6.2502106E-05,7.905827E-03
2171,6.381651E+02,319.08256000,6.381651E-04,0.31908256,1.8240073E-04,1.3505582E-02
2181,6.3928275E+02,319.64138000,6.3928275E-04,0.31964138,9.076485E-05,9.527059E-03
2191,6.438637E+02,321.93184000,6.438637E-04,0.32193184,7.88458E-05,8.879515E-03
2201,6.516981E+02,325.84906000,6.516981E-04,0.32584906,3.9133356E-05,6.255666E-03
2211,7.040216E+02,352.0108000,7.040216E-04,0.3520108,2.7888926E-04,1.6699977E-02
2221,6.617597E+02,330.87984000,6.617597E-04,0.33087984,7.2356335E-05,8.506252E-03
2231,6.2488543E+02,312.44272000,6.2488543E-04,0.31244272,6.157486E-05,7.8469645E-03
