n,each1e6,each,mean, meanOriginal, variance, stdDev
2251,1262.510,0.0012625,1262.5097000,1.2625097,1.2514412E-03,3.5375714E-02
2261,1277.136,0.0012771,1277.1355000,1.2771355,9.919959E-04,3.1495966E-02
2271,1275.316,0.0012753,1275.3161000,1.2753161,8.8163925E-04,2.9692411E-02
2281,1252.770,0.0012528,1252.7697000,1.2527697,9.848819E-04,3.138283E-02
2291,1279.440,0.0012794,1279.4396000,1.2794396,9.066034E-04,3.0109856E-02
2301,1319.727,0.0013197,1319.7273000,1.3197273,1.2891439E-03,3.590465E-02
2311,1293.424,0.0012934,1293.4238000,1.2934238,1.3240325E-03,3.6387257E-02
2321,1320.789,0.0013208,1320.7891000,1.3207891,9.981518E-04,3.1593543E-02
2331,1284.882,0.0012849,1284.8824000,1.2848824,1.6586139E-03,4.0726084E-02
2341,1355.116,0.0013551,1355.1159000,1.3551159,2.8859691E-03,5.3721216E-02
2351,1322.801,0.0013228,1322.8014000,1.3228014,1.0027856E-03,3.166679E-02
2361,1344.506,0.001345,1344.506000,1.344506,1.0114841E-03,3.180384E-02
2371,1310.146,0.001310,1310.146000,1.310146,1.1030334E-03,3.3211946E-02
2381,1327.927,0.0013279,1327.9272000,1.3279272,1.1423982E-03,3.3799384E-02
2391,1353.529,0.0013535,1353.5291000,1.3535291,1.1250392E-03,3.3541605E-02
2401,1354.807,0.0013548,1354.8067000,1.3548067,8.591635E-04,2.9311491E-02
2411,1350.037,0.0013500,1350.0369000,1.3500369,3.0013735E-03,5.4784793E-02
2421,1362.746,0.0013627,1362.7455000,1.3627455,8.8797347E-04,2.9798884E-02
2431,1373.292,0.0013733,1373.2919000,1.3732919,8.294339E-04,2.8799893E-02
2441,1406.224,0.0014062,1406.2235000,1.4062235,8.9470024E-04,2.991154E-02
2451,1432.166,0.0014322,1432.1659000,1.4321659,1.0171923E-03,3.189345E-02
2461,1389.575,0.0013896,1389.5754000,1.3895754,9.086913E-04,3.0144507E-02
2471,1419.245,0.0014192,1419.2451000,1.4192451,8.2690193E-04,2.8755903E-02
2481,1402.907,0.0014029,1402.9069000,1.4029069,2.0892038E-03,4.570781E-02
2491,1373.880,0.0013739,1373.8797000,1.3738797,1.0643025E-03,3.262365E-02
2501,1424.521,0.001425,1424.521000,1.424521,9.100927E-04,3.0167744E-02
2511,1428.072,0.0014281,1428.0715000,1.4280715,8.4227056E-04,2.9021898E-02
2521,1469.559,0.0014696,1469.5594000,1.4695594,9.279831E-04,3.0462814E-02
2531,1466.366,0.0014664,1466.3662000,1.4663662,2.0670448E-03,4.5464765E-02
2541,1491.168,0.0014912,1491.1675000,1.4911675,9.464568E-04,3.0764539E-02
2551,1488.068,0.0014881,1488.0683000,1.4880683,2.8986884E-03,5.3839467E-02
2561,1475.442,0.0014754,1475.4418000,1.4754418,1.1776622E-03,3.4317084E-02
2571,1493.405,0.0014934,1493.4046000,1.4934046,8.9152646E-04,2.985844E-02
2581,1491.135,0.0014911,1491.1351000,1.4911351,2.7568403E-03,5.2505624E-02
2591,1497.606,0.0014976,1497.6064000,1.4976064,1.1182516E-03,3.344027E-02
2601,1509.719,0.0015097,1509.7188000,1.5097188,9.2654786E-04,3.0439248E-02
2611,1495.521,0.0014955,1495.5212000,1.4955212,1.0579069E-03,3.252548E-02
2621,1543.928,0.0015439,1543.9277000,1.5439277,1.2437443E-03,3.5266757E-02
2631,1534.390,0.00153,1534.39000,1.53439,8.255799E-04,2.8732907E-02
2641,1518.305,0.0015183,1518.3051000,1.5183051,1.0285246E-03,3.2070618E-02
2651,1568.760,0.00157,1568.76000,1.56876,1.1302631E-03,3.3619385E-02
