n,m,each1e6,each1e4,each1e3, each,mean1e6,mean1e4,mean1e3, mean, variance, stdDev, median,median1e3,medianEach1e3,medianEach1e6
711,3992.1702237,2398.4646,23.984646,2.3984647,2.3984646E-03,2398464.8,23984.646,2398.4646,2.3984647,3.8830652E-03,6.2314246E-02,2.382947,2382.947,2.382947,2382.9468
701,3936.0215567,2346.8457,23.468458,2.3468459,2.3468458E-03,2346845.8,23468.459,2346.846,2.3468459,6.123256E-04,2.4745215E-02,2.341929,2341.929,2.341929,2341.929
691,3879.8728897,2291.0076,22.910076,2.2910078,2.2910077E-03,2291007.8,22910.078,2291.0078,2.2910078,9.163338E-04,3.0271007E-02,2.283983,2283.983,2.283983,2283.983
681,3823.7242227,2300.852,23.00852,2.300852,2.300852E-03,2300852.0,23008.521,2300.852,2.300852,5.27502E-03,7.262933E-02,2.269152,2269.1519,2.269152,2269.1519
671,3767.5755557,2216.1675,22.161674,2.2161674,2.2161675E-03,2216167.5,22161.674,2216.1675,2.2161674,1.539383E-03,3.923497E-02,2.207568,2207.5679,2.207568,2207.5679
661,3711.4268887,2198.9966,21.989965,2.1989965,2.1989965E-03,2198996.5,21989.965,2198.9966,2.1989965,3.1601435E-03,5.6215152E-02,2.189097,2189.097,2.189097,2189.097
651,3655.2782217,2235.7417,22.357418,2.2357419,2.2357418E-03,2235741.8,22357.418,2235.742,2.2357419,4.2506293E-03,6.519685E-02,2.226737,2226.737,2.226737,2226.737
641,3599.1295547,2221.3281,22.213282,2.2213283,2.2213282E-03,2221328.3,22213.283,2221.3284,2.2213283,7.279543E-02,0.26980627,2.138249,2138.249,2.138249,2138.2488
631,3542.9808877,2074.6423,20.746424,2.0746424,2.0746423E-03,2074642.4,20746.424,2074.6423,2.0746424,4.3494554E-04,2.0855349E-02,2.069159,2069.159,2.069159,2069.159
621,3486.8322207,2072.7437,20.727436,2.0727437,2.0727436E-03,2072743.6,20727.438,2072.7437,2.0727437,1.689622E-03,4.110501E-02,2.069353,2069.353,2.069353,2069.353
611,3430.6835537,2015.9944,20.159945,2.0159943,2.0159944E-03,2015994.3,20159.943,2015.9943,2.0159943,4.063276E-04,2.015757E-02,2.015122,2015.122,2.015122,2015.122
601,3374.5348867,2034.0168,20.340168,2.0340168,2.034017E-03,2034016.9,20340.168,2034.0168,2.0340168,6.960702E-03,8.343082E-02,2.003225,2003.2251,2.003225,2003.225
591,3318.3862197,1977.2659,19.772657,1.9772658,1.9772658E-03,1977265.8,19772.656,1977.2657,1.9772657,9.3176664E-04,3.0524854E-02,1.97205,1972.0499,1.97205,1972.0499
581,3262.2375527,1950.92,19.509201,1.9509201,1.9509201E-03,1950920.1,19509.201,1950.9202,1.9509201,4.4440775E-04,2.108098E-02,1.951566,1951.566,1.951566,1951.5659
571,3206.0888857,1922.3196,19.223196,1.9223195,1.9223195E-03,1922319.5,19223.195,1922.3196,1.9223195,1.6571421E-03,4.070801E-02,1.915196,1915.1959,1.915196,1915.1959
561,3149.9402187,1881.0845,18.810844,1.8810846,1.8810845E-03,1881084.5,18810.846,1881.0846,1.8810846,1.6196929E-03,4.024541E-02,1.869084,1869.084,1.869084,1869.084
551,3093.7915517,1861.4763,18.614763,1.8614763,1.8614763E-03,1861476.3,18614.764,1861.4763,1.8614763,2.755654E-03,5.2494325E-02,1.849481,1849.481,1.849481,1849.4811
541,3037.6428847,1802.9674,18.029675,1.8029674,1.8029674E-03,1802967.4,18029.674,1802.9674,1.8029674,2.233211E-03,4.725686E-02,1.788178,1788.178,1.788178,1788.178
531,2981.4942177,1750.4547,17.504547,1.7504547,1.7504547E-03,1750454.6,17504.547,1750.4547,1.7504547,1.6429674E-04,1.2817829E-02,1.75004,1750.04,1.75004,1750.0402
521,2925.3455507,1714.7838,17.147839,1.7147838,1.7147838E-03,1714783.8,17147.838,1714.7838,1.7147838,1.3413724E-04,1.1581764E-02,1.716046,1716.046,1.716046,1716.046
511,2869.1968837,1682.4823,16.824823,1.6824824,1.6824823E-03,1682482.4,16824.824,1682.4824,1.6824824,2.6550662E-04,1.6294373E-02,1.681695,1681.695,1.681695,1681.695
501,2813.0482167,1679.1803,16.791803,1.6791803,1.6791803E-03,1679180.3,16791.803,1679.1803,1.6791803,2.256427E-03,4.7501862E-02,1.671851,1671.8511,1.671851,1671.8511
491,2756.8995497,1625.6027,16.256027,1.6256027,1.6256027E-03,1625602.8,16256.027,1625.6028,1.6256027,8.780033E-04,2.9631121E-02,1.616772,1616.7721,1.616772,1616.772
